complaint_id,description,latitude,longitude,location_label,category,priority,priority_score,status,department,affected_count,duration_days,synthetic
SYN-CHN-003117,Water supply disruption reported by residents.,13.074645,80.185295,Poonamallee High Road,Water Supply,MEDIUM,53,ASSIGNED,Water Supply Department,4,9,True
SYN-CHN-006127,Damaged or deteriorated public infrastructure reported.,13.031003,80.191982,100 Feet Road,Public Infrastructure,MEDIUM,55,PENDING,Municipal Engineering Department,76,10,True
SYN-CHN-001419,Streetlight reported as non-functional near a public road segment.,12.937024,80.263279,ECR,Streetlight,MEDIUM,52,PENDING,Electrical / Street Lighting Department,8,5,True
SYN-CHN-004266,Pothole reported on the roadway.,13.019391,80.208343,Anna Salai,Pothole,MEDIUM,51,PENDING,Roads & Highways Department,6,2,True
SYN-CHN-010802,Streetlight reported as non-functional near a public road segment.,13.10953,80.163633,Ambattur Industrial Corridor,Streetlight,MEDIUM,52,RESOLVED,Electrical / Street Lighting Department,13,7,True
SYN-CHN-001599,Drainage obstruction or drainage-related civic issue reported.,12.974245,80.181475,GST Road,Drainage,MEDIUM,40,IN_PROGRESS,Storm Water Drainage Department,11,14,True
SYN-CHN-013239,Water supply disruption reported by residents.,12.978004,80.333639,Chennai synthetic background,Water Supply,HIGH,64,PENDING,Water Supply Department,10,3,True
SYN-CHN-007199,Water supply disruption reported by residents.,13.110537,80.244413,Perambur High Road,Water Supply,HIGH,61,PENDING,Water Supply Department,14,1,True
SYN-CHN-007754,Traffic signal or traffic-control infrastructure issue reported.,13.16263,80.250255,Madhavaram High Road,Traffic Signal,HIGH,72,PENDING,Traffic Police / Traffic Engineering Department,7,4,True
SYN-CHN-008050,Damaged or deteriorated public infrastructure reported.,13.118464,80.232461,Madhavaram High Road,Public Infrastructure,LOW,34,PENDING,Municipal Engineering Department,7,5,True
SYN-CHN-005894,Damaged road surface reported along a frequently used road.,13.033943,80.195495,100 Feet Road,Road Damage,MEDIUM,53,ASSIGNED,Roads & Highways Department,28,6,True
SYN-CHN-006779,Streetlight reported as non-functional near a public road segment.,13.072706,80.204188,Jawaharlal Nehru Road,Streetlight,MEDIUM,40,ASSIGNED,Electrical / Street Lighting Department,10,8,True
SYN-CHN-011669,Pothole reported on the roadway.,13.141409,80.185931,Red Hills Road,Pothole,LOW,30,PENDING,Roads & Highways Department,8,10,True
SYN-CHN-005457,Streetlight reported as non-functional near a public road segment.,13.063935,80.232666,Inner Ring Road,Streetlight,HIGH,63,RESOLVED,Electrical / Street Lighting Department,8,0,True
SYN-CHN-014078,Damaged road surface reported along a frequently used road.,13.062909,80.110295,Chennai synthetic background,Road Damage,MEDIUM,40,PENDING,Roads & Highways Department,6,8,True
SYN-CHN-009503,Damaged or deteriorated public infrastructure reported.,12.97665,80.21024,Velachery Main Road,Public Infrastructure,LOW,33,PENDING,Municipal Engineering Department,6,13,True
SYN-CHN-011527,Water supply disruption reported by residents.,13.141718,80.187055,Red Hills Road,Water Supply,LOW,28,IN_PROGRESS,Water Supply Department,7,10,True
SYN-CHN-004867,Pothole reported on the roadway.,13.068844,80.227414,Inner Ring Road,Pothole,LOW,28,PENDING,Roads & Highways Department,6,5,True
SYN-CHN-010820,Water supply disruption reported by residents.,13.098994,80.155743,Ambattur Industrial Corridor,Water Supply,MEDIUM,52,RESOLVED,Water Supply Department,7,9,True
SYN-CHN-005614,Streetlight reported as non-functional near a public road segment.,13.029467,80.216821,Inner Ring Road,Streetlight,HIGH,66,IN_PROGRESS,Electrical / Street Lighting Department,30,7,True
SYN-CHN-001965,Pothole reported on the roadway.,13.00343,80.193105,GST Road,Pothole,CRITICAL,75,RESOLVED,Roads & Highways Department,3,6,True
SYN-CHN-004418,Drainage obstruction or drainage-related civic issue reported.,13.009687,80.210776,Anna Salai,Drainage,LOW,29,PENDING,Storm Water Drainage Department,12,0,True
SYN-CHN-003046,Drainage obstruction or drainage-related civic issue reported.,13.091656,80.247616,Poonamallee High Road,Drainage,MEDIUM,42,PENDING,Storm Water Drainage Department,17,3,True
SYN-CHN-009700,Damaged road surface reported along a frequently used road.,12.977108,80.212061,Velachery Main Road,Road Damage,MEDIUM,41,PENDING,Roads & Highways Department,11,7,True
SYN-CHN-009653,Pothole reported on the roadway.,12.976836,80.212281,Velachery Main Road,Pothole,LOW,35,IN_PROGRESS,Roads & Highways Department,14,14,True
SYN-CHN-013010,Water supply disruption reported by residents.,12.996609,80.287783,Chennai synthetic background,Water Supply,HIGH,74,ASSIGNED,Water Supply Department,12,5,True
SYN-CHN-010541,Streetlight reported as non-functional near a public road segment.,12.95004,80.192238,Tambaram Radial Road,Streetlight,MEDIUM,49,RESOLVED,Electrical / Street Lighting Department,5,8,True
SYN-CHN-003617,Water supply disruption reported by residents.,13.066701,80.166655,Poonamallee High Road,Water Supply,HIGH,63,RESOLVED,Water Supply Department,9,11,True
SYN-CHN-012974,Pothole reported on the roadway.,12.928625,80.281146,Chennai synthetic background,Pothole,LOW,10,ASSIGNED,Roads & Highways Department,2,0,True
SYN-CHN-003943,Waterlogging or flooding reported after heavy rainfall.,13.06432,80.26329,Anna Salai,Flooding,CRITICAL,87,IN_PROGRESS,Storm Water Drainage Department,40,1,True
SYN-CHN-008041,Garbage accumulation reported in a public area.,13.132099,80.241526,Madhavaram High Road,Garbage,LOW,17,PENDING,Solid Waste Management Department,6,5,True
SYN-CHN-002537,Traffic signal or traffic-control infrastructure issue reported.,13.010736,80.162714,Mount Poonamallee Road,Traffic Signal,HIGH,66,PENDING,Traffic Police / Traffic Engineering Department,27,3,True
SYN-CHN-002857,Drainage obstruction or drainage-related civic issue reported.,13.027966,80.174236,Mount Poonamallee Road,Drainage,HIGH,69,RESOLVED,Storm Water Drainage Department,3,14,True
SYN-CHN-001394,Water supply disruption reported by residents.,12.84247,80.254691,ECR,Water Supply,MEDIUM,43,ASSIGNED,Water Supply Department,13,12,True
SYN-CHN-003746,Waterlogging or flooding reported after heavy rainfall.,13.079789,80.191724,Poonamallee High Road,Flooding,MEDIUM,50,ASSIGNED,Storm Water Drainage Department,1,9,True
SYN-CHN-010623,Streetlight reported as non-functional near a public road segment.,12.954301,80.198216,Tambaram Radial Road,Streetlight,HIGH,72,RESOLVED,Electrical / Street Lighting Department,5,8,True
SYN-CHN-008679,Streetlight reported as non-functional near a public road segment.,13.07971,80.290038,East Coast Corridor,Streetlight,MEDIUM,53,IN_PROGRESS,Electrical / Street Lighting Department,4,9,True
SYN-CHN-012080,Waterlogging or flooding reported after heavy rainfall.,12.95573,80.223064,Chennai synthetic background,Flooding,MEDIUM,51,ASSIGNED,Storm Water Drainage Department,9,1,True
SYN-CHN-005771,Streetlight reported as non-functional near a public road segment.,13.037897,80.203468,100 Feet Road,Streetlight,HIGH,71,ASSIGNED,Electrical / Street Lighting Department,6,12,True
SYN-CHN-006439,Damaged road surface reported along a frequently used road.,13.057531,80.189842,Jawaharlal Nehru Road,Road Damage,LOW,14,ASSIGNED,Roads & Highways Department,2,3,True
SYN-CHN-005834,Drainage obstruction or drainage-related civic issue reported.,13.033867,80.196559,100 Feet Road,Drainage,LOW,37,PENDING,Storm Water Drainage Department,14,13,True
SYN-CHN-009702,Streetlight reported as non-functional near a public road segment.,12.970486,80.217171,Medavakkam Main Road,Streetlight,MEDIUM,54,ASSIGNED,Electrical / Street Lighting Department,9,11,True
SYN-CHN-001035,Drainage obstruction or drainage-related civic issue reported.,12.872631,80.264637,ECR,Drainage,LOW,34,ASSIGNED,Storm Water Drainage Department,1,11,True
SYN-CHN-012894,Pothole reported on the roadway.,12.8897,80.266586,Chennai synthetic background,Pothole,MEDIUM,59,PENDING,Roads & Highways Department,9,9,True
SYN-CHN-011122,Water supply disruption reported by residents.,13.106905,80.164606,Ambattur Industrial Corridor,Water Supply,MEDIUM,45,ASSIGNED,Water Supply Department,2,14,True
SYN-CHN-009083,Waterlogging or flooding reported after heavy rainfall.,12.950206,80.27285,East Coast Corridor,Flooding,CRITICAL,76,RESOLVED,Storm Water Drainage Department,8,9,True
SYN-CHN-002994,Potential electrical infrastructure hazard reported.,12.985014,80.123435,Mount Poonamallee Road,Electrical Hazard,MEDIUM,55,ASSIGNED,Electrical / Street Lighting Department,2,13,True
SYN-CHN-013698,Waterlogging or flooding reported after heavy rainfall.,13.085509,80.303059,Chennai synthetic background,Flooding,HIGH,60,RESOLVED,Storm Water Drainage Department,10,5,True
SYN-CHN-013296,Water supply disruption reported by residents.,12.868707,80.187626,Chennai synthetic background,Water Supply,LOW,35,PENDING,Water Supply Department,11,12,True
SYN-CHN-011125,Drainage obstruction or drainage-related civic issue reported.,13.092487,80.141359,Ambattur Industrial Corridor,Drainage,MEDIUM,44,RESOLVED,Storm Water Drainage Department,1,6,True
SYN-CHN-003394,Damaged road surface reported along a frequently used road.,13.080017,80.197712,Poonamallee High Road,Road Damage,MEDIUM,49,RESOLVED,Roads & Highways Department,19,11,True
SYN-CHN-003885,Streetlight reported as non-functional near a public road segment.,13.068344,80.263639,Anna Salai,Streetlight,HIGH,67,RESOLVED,Electrical / Street Lighting Department,21,11,True
SYN-CHN-008662,Streetlight reported as non-functional near a public road segment.,12.89289,80.260645,East Coast Corridor,Streetlight,LOW,23,RESOLVED,Electrical / Street Lighting Department,30,14,True
SYN-CHN-000170,Garbage accumulation reported in a public area.,13.00996,80.245805,OMR,Garbage,MEDIUM,47,ASSIGNED,Solid Waste Management Department,9,5,True
SYN-CHN-009792,Damaged road surface reported along a frequently used road.,12.916179,80.181656,Medavakkam Main Road,Road Damage,LOW,16,PENDING,Roads & Highways Department,10,6,True
SYN-CHN-012588,Pothole reported on the roadway.,12.986843,80.322627,Chennai synthetic background,Pothole,LOW,29,PENDING,Roads & Highways Department,6,11,True
SYN-CHN-009756,Streetlight reported as non-functional near a public road segment.,12.973651,80.214377,Medavakkam Main Road,Streetlight,HIGH,60,PENDING,Electrical / Street Lighting Department,6,2,True
SYN-CHN-011178,Damaged road surface reported along a frequently used road.,13.111888,80.175411,Ambattur Industrial Corridor,Road Damage,LOW,37,RESOLVED,Roads & Highways Department,20,5,True
SYN-CHN-005924,Potential electrical infrastructure hazard reported.,13.03054,80.193565,100 Feet Road,Electrical Hazard,CRITICAL,89,PENDING,Electrical / Street Lighting Department,8,12,True
SYN-CHN-004098,Drainage obstruction or drainage-related civic issue reported.,13.021868,80.219825,Anna Salai,Drainage,MEDIUM,45,PENDING,Storm Water Drainage Department,4,14,True
SYN-CHN-013865,Pothole reported on the roadway.,13.025775,80.207848,Chennai synthetic background,Pothole,LOW,22,IN_PROGRESS,Roads & Highways Department,6,6,True
SYN-CHN-001702,Garbage accumulation reported in a public area.,13.001155,80.192004,GST Road,Garbage,LOW,31,PENDING,Solid Waste Management Department,6,0,True
SYN-CHN-006665,Potential electrical infrastructure hazard reported.,13.03163,80.176934,Jawaharlal Nehru Road,Electrical Hazard,MEDIUM,56,PENDING,Electrical / Street Lighting Department,1,14,True
SYN-CHN-003910,Damaged or deteriorated public infrastructure reported.,13.065388,80.266077,Anna Salai,Public Infrastructure,LOW,29,RESOLVED,Municipal Engineering Department,23,3,True
SYN-CHN-012021,Streetlight reported as non-functional near a public road segment.,13.095311,80.143213,Chennai synthetic background,Streetlight,HIGH,66,IN_PROGRESS,Electrical / Street Lighting Department,3,9,True
SYN-CHN-013613,Potential electrical infrastructure hazard reported.,12.997719,80.259383,Chennai synthetic background,Electrical Hazard,CRITICAL,86,IN_PROGRESS,Electrical / Street Lighting Department,12,12,True
SYN-CHN-002123,Garbage accumulation reported in a public area.,12.965218,80.183673,GST Road,Garbage,MEDIUM,54,RESOLVED,Solid Waste Management Department,12,6,True
SYN-CHN-004788,Pothole reported on the roadway.,13.026242,80.22888,Anna Salai,Pothole,HIGH,63,IN_PROGRESS,Roads & Highways Department,6,3,True
SYN-CHN-011559,Streetlight reported as non-functional near a public road segment.,13.13451,80.182354,Red Hills Road,Streetlight,LOW,30,ASSIGNED,Electrical / Street Lighting Department,29,12,True
SYN-CHN-011401,Damaged road surface reported along a frequently used road.,13.136166,80.18456,Red Hills Road,Road Damage,MEDIUM,47,PENDING,Roads & Highways Department,7,8,True
SYN-CHN-008046,Potential electrical infrastructure hazard reported.,13.115341,80.230959,Madhavaram High Road,Electrical Hazard,CRITICAL,80,PENDING,Electrical / Street Lighting Department,8,3,True
SYN-CHN-008402,Pothole reported on the roadway.,13.164338,80.288559,North Chennai Corridor,Pothole,MEDIUM,58,PENDING,Roads & Highways Department,12,5,True
SYN-CHN-010024,Water supply disruption reported by residents.,12.921242,80.18572,Medavakkam Main Road,Water Supply,MEDIUM,50,PENDING,Water Supply Department,17,2,True
SYN-CHN-012051,Pothole reported on the roadway.,12.996411,80.178933,Chennai synthetic background,Pothole,MEDIUM,41,RESOLVED,Roads & Highways Department,17,2,True
SYN-CHN-011889,Damaged road surface reported along a frequently used road.,12.929924,80.304234,Chennai synthetic background,Road Damage,LOW,26,PENDING,Roads & Highways Department,4,11,True
SYN-CHN-012385,Potential electrical infrastructure hazard reported.,13.069496,80.124646,Chennai synthetic background,Electrical Hazard,CRITICAL,84,RESOLVED,Electrical / Street Lighting Department,18,0,True
SYN-CHN-012949,Damaged or deteriorated public infrastructure reported.,13.138657,80.289894,Chennai synthetic background,Public Infrastructure,LOW,25,PENDING,Municipal Engineering Department,24,13,True
SYN-CHN-003194,Streetlight reported as non-functional near a public road segment.,13.073314,80.178203,Poonamallee High Road,Streetlight,MEDIUM,46,ASSIGNED,Electrical / Street Lighting Department,18,10,True
SYN-CHN-011872,Damaged road surface reported along a frequently used road.,12.8678,80.153589,Chennai synthetic background,Road Damage,HIGH,61,PENDING,Roads & Highways Department,14,3,True
SYN-CHN-004994,Damaged road surface reported along a frequently used road.,12.965297,80.189843,Inner Ring Road,Road Damage,HIGH,67,RESOLVED,Roads & Highways Department,4,5,True
SYN-CHN-008289,Damaged or deteriorated public infrastructure reported.,13.112149,80.275204,North Chennai Corridor,Public Infrastructure,LOW,31,ASSIGNED,Municipal Engineering Department,5,1,True
SYN-CHN-014009,Waterlogging or flooding reported after heavy rainfall.,13.143463,80.13792,Chennai synthetic background,Flooding,HIGH,69,RESOLVED,Storm Water Drainage Department,1,3,True
SYN-CHN-005305,Drainage obstruction or drainage-related civic issue reported.,13.03551,80.218808,Inner Ring Road,Drainage,LOW,35,ASSIGNED,Storm Water Drainage Department,8,1,True
SYN-CHN-005221,Drainage obstruction or drainage-related civic issue reported.,13.022523,80.21559,Inner Ring Road,Drainage,LOW,33,RESOLVED,Storm Water Drainage Department,23,0,True
SYN-CHN-004619,Streetlight reported as non-functional near a public road segment.,13.02572,80.219802,Anna Salai,Streetlight,HIGH,66,PENDING,Electrical / Street Lighting Department,14,10,True
SYN-CHN-005726,Garbage accumulation reported in a public area.,13.048628,80.207109,100 Feet Road,Garbage,MEDIUM,51,PENDING,Solid Waste Management Department,11,7,True
SYN-CHN-009385,Damaged road surface reported along a frequently used road.,12.980193,80.22115,Velachery Main Road,Road Damage,LOW,35,ASSIGNED,Roads & Highways Department,4,0,True
SYN-CHN-009948,Water supply disruption reported by residents.,12.906788,80.181204,Medavakkam Main Road,Water Supply,HIGH,65,PENDING,Water Supply Department,8,13,True
SYN-CHN-007111,Damaged road surface reported along a frequently used road.,13.10543,80.229386,Perambur High Road,Road Damage,MEDIUM,45,IN_PROGRESS,Roads & Highways Department,8,1,True
SYN-CHN-006214,Water supply disruption reported by residents.,13.037218,80.196477,100 Feet Road,Water Supply,CRITICAL,81,IN_PROGRESS,Water Supply Department,13,0,True
SYN-CHN-001248,Damaged road surface reported along a frequently used road.,12.82,80.252789,ECR,Road Damage,MEDIUM,54,IN_PROGRESS,Roads & Highways Department,4,1,True
SYN-CHN-012521,Waterlogging or flooding reported after heavy rainfall.,13.066822,80.299207,Chennai synthetic background,Flooding,HIGH,61,PENDING,Storm Water Drainage Department,2,0,True
SYN-CHN-000291,Damaged road surface reported along a frequently used road.,12.98316,80.244982,OMR,Road Damage,LOW,19,ASSIGNED,Roads & Highways Department,4,2,True
SYN-CHN-003032,Drainage obstruction or drainage-related civic issue reported.,13.076939,80.189987,Poonamallee High Road,Drainage,MEDIUM,46,RESOLVED,Storm Water Drainage Department,49,4,True
SYN-CHN-013871,Traffic signal or traffic-control infrastructure issue reported.,13.062839,80.155012,Chennai synthetic background,Traffic Signal,CRITICAL,79,RESOLVED,Traffic Police / Traffic Engineering Department,17,2,True
SYN-CHN-011857,Streetlight reported as non-functional near a public road segment.,13.068737,80.109309,Chennai synthetic background,Streetlight,MEDIUM,49,PENDING,Electrical / Street Lighting Department,5,6,True
SYN-CHN-012555,Streetlight reported as non-functional near a public road segment.,12.97988,80.31827,Chennai synthetic background,Streetlight,MEDIUM,55,PENDING,Electrical / Street Lighting Department,2,0,True
SYN-CHN-010658,Potential electrical infrastructure hazard reported.,12.892824,80.139425,Tambaram Radial Road,Electrical Hazard,HIGH,74,RESOLVED,Electrical / Street Lighting Department,14,14,True
SYN-CHN-008743,Damaged road surface reported along a frequently used road.,13.061356,80.297219,East Coast Corridor,Road Damage,MEDIUM,40,ASSIGNED,Roads & Highways Department,16,6,True
SYN-CHN-007096,Potential electrical infrastructure hazard reported.,13.112833,80.238731,Perambur High Road,Electrical Hazard,HIGH,68,RESOLVED,Electrical / Street Lighting Department,19,3,True
SYN-CHN-000915,Damaged road surface reported along a frequently used road.,12.82,80.250571,ECR,Road Damage,MEDIUM,49,PENDING,Roads & Highways Department,3,6,True
SYN-CHN-013405,Streetlight reported as non-functional near a public road segment.,13.120973,80.233636,Chennai synthetic background,Streetlight,HIGH,67,IN_PROGRESS,Electrical / Street Lighting Department,9,13,True
SYN-CHN-006418,Damaged road surface reported along a frequently used road.,13.078618,80.211231,Jawaharlal Nehru Road,Road Damage,LOW,33,RESOLVED,Roads & Highways Department,23,12,True
SYN-CHN-007365,Damaged road surface reported along a frequently used road.,13.118756,80.242464,Perambur High Road,Road Damage,MEDIUM,46,PENDING,Roads & Highways Department,3,14,True
SYN-CHN-011113,Drainage obstruction or drainage-related civic issue reported.,13.116298,80.175399,Ambattur Industrial Corridor,Drainage,MEDIUM,51,IN_PROGRESS,Storm Water Drainage Department,13,11,True
SYN-CHN-000928,Damaged or deteriorated public infrastructure reported.,13.0379,80.280356,ECR,Public Infrastructure,HIGH,62,ASSIGNED,Municipal Engineering Department,9,13,True
SYN-CHN-008511,Damaged road surface reported along a frequently used road.,13.155891,80.284414,North Chennai Corridor,Road Damage,LOW,35,ASSIGNED,Roads & Highways Department,24,1,True
SYN-CHN-010156,Pothole reported on the roadway.,12.917451,80.189365,Medavakkam Main Road,Pothole,LOW,35,ASSIGNED,Roads & Highways Department,21,0,True
SYN-CHN-011451,Streetlight reported as non-functional near a public road segment.,13.184535,80.208534,Red Hills Road,Streetlight,MEDIUM,54,PENDING,Electrical / Street Lighting Department,6,9,True
SYN-CHN-006129,Garbage accumulation reported in a public area.,13.052073,80.201726,100 Feet Road,Garbage,LOW,34,ASSIGNED,Solid Waste Management Department,9,5,True
SYN-CHN-002679,Damaged or deteriorated public infrastructure reported.,13.016904,80.164096,Mount Poonamallee Road,Public Infrastructure,LOW,21,PENDING,Municipal Engineering Department,7,2,True
SYN-CHN-012641,Streetlight reported as non-functional near a public road segment.,13.030004,80.270777,Chennai synthetic background,Streetlight,MEDIUM,48,PENDING,Electrical / Street Lighting Department,6,13,True
SYN-CHN-000795,Water supply disruption reported by residents.,12.845083,80.234316,OMR,Water Supply,CRITICAL,84,RESOLVED,Water Supply Department,7,13,True
SYN-CHN-012961,Traffic signal or traffic-control infrastructure issue reported.,12.944817,80.10886,Chennai synthetic background,Traffic Signal,MEDIUM,46,RESOLVED,Traffic Police / Traffic Engineering Department,49,5,True
SYN-CHN-012818,Damaged road surface reported along a frequently used road.,12.829063,80.23434,Chennai synthetic background,Road Damage,HIGH,72,PENDING,Roads & Highways Department,4,4,True
SYN-CHN-009268,Potential electrical infrastructure hazard reported.,12.966124,80.210229,Velachery Main Road,Electrical Hazard,HIGH,69,ASSIGNED,Electrical / Street Lighting Department,11,14,True
SYN-CHN-003647,Drainage obstruction or drainage-related civic issue reported.,13.091061,80.241745,Poonamallee High Road,Drainage,LOW,39,IN_PROGRESS,Storm Water Drainage Department,20,14,True
SYN-CHN-012493,Damaged road surface reported along a frequently used road.,12.95194,80.290871,Chennai synthetic background,Road Damage,MEDIUM,44,PENDING,Roads & Highways Department,1,10,True
SYN-CHN-013333,Potential electrical infrastructure hazard reported.,12.930206,80.315816,Chennai synthetic background,Electrical Hazard,MEDIUM,54,IN_PROGRESS,Electrical / Street Lighting Department,11,8,True
SYN-CHN-012860,Streetlight reported as non-functional near a public road segment.,13.103416,80.322403,Chennai synthetic background,Streetlight,MEDIUM,59,PENDING,Electrical / Street Lighting Department,7,13,True
SYN-CHN-013975,Damaged or deteriorated public infrastructure reported.,13.05982,80.269926,Chennai synthetic background,Public Infrastructure,MEDIUM,48,ASSIGNED,Municipal Engineering Department,6,7,True
SYN-CHN-011671,Damaged road surface reported along a frequently used road.,13.125249,80.183771,Red Hills Road,Road Damage,HIGH,65,RESOLVED,Roads & Highways Department,1,4,True
SYN-CHN-012825,Traffic signal or traffic-control infrastructure issue reported.,12.828586,80.174298,Chennai synthetic background,Traffic Signal,MEDIUM,50,IN_PROGRESS,Traffic Police / Traffic Engineering Department,7,0,True
SYN-CHN-007782,Drainage obstruction or drainage-related civic issue reported.,13.131162,80.235831,Madhavaram High Road,Drainage,LOW,35,PENDING,Storm Water Drainage Department,1,13,True
SYN-CHN-008461,Waterlogging or flooding reported after heavy rainfall.,13.117048,80.273486,North Chennai Corridor,Flooding,CRITICAL,75,PENDING,Storm Water Drainage Department,12,9,True
SYN-CHN-012336,Water supply disruption reported by residents.,12.999689,80.158724,Chennai synthetic background,Water Supply,MEDIUM,46,IN_PROGRESS,Water Supply Department,42,11,True
SYN-CHN-003571,Damaged road surface reported along a frequently used road.,13.062894,80.139575,Poonamallee High Road,Road Damage,MEDIUM,41,ASSIGNED,Roads & Highways Department,7,10,True
SYN-CHN-010706,Damaged road surface reported along a frequently used road.,12.937847,80.176576,Tambaram Radial Road,Road Damage,MEDIUM,44,IN_PROGRESS,Roads & Highways Department,4,3,True
SYN-CHN-005724,Water supply disruption reported by residents.,13.070537,80.219267,100 Feet Road,Water Supply,HIGH,70,ASSIGNED,Water Supply Department,10,0,True
SYN-CHN-000287,Water supply disruption reported by residents.,12.85082,80.232011,OMR,Water Supply,CRITICAL,80,ASSIGNED,Water Supply Department,9,3,True
SYN-CHN-002358,Damaged road surface reported along a frequently used road.,12.907846,80.16903,GST Road,Road Damage,MEDIUM,55,ASSIGNED,Roads & Highways Department,10,8,True
SYN-CHN-002178,Streetlight reported as non-functional near a public road segment.,12.873391,80.167012,GST Road,Streetlight,LOW,39,PENDING,Electrical / Street Lighting Department,7,9,True
SYN-CHN-008538,Pothole reported on the roadway.,13.107846,80.274845,North Chennai Corridor,Pothole,MEDIUM,59,PENDING,Roads & Highways Department,9,12,True
SYN-CHN-004895,Damaged road surface reported along a frequently used road.,13.044523,80.218662,Inner Ring Road,Road Damage,LOW,33,PENDING,Roads & Highways Department,24,12,True
SYN-CHN-004014,Streetlight reported as non-functional near a public road segment.,13.047084,80.242819,Anna Salai,Streetlight,HIGH,61,PENDING,Electrical / Street Lighting Department,10,0,True
SYN-CHN-004603,Potential electrical infrastructure hazard reported.,13.065761,80.26413,Anna Salai,Electrical Hazard,HIGH,62,ASSIGNED,Electrical / Street Lighting Department,7,0,True
SYN-CHN-003624,Potential electrical infrastructure hazard reported.,13.090931,80.237484,Poonamallee High Road,Electrical Hazard,CRITICAL,84,ASSIGNED,Electrical / Street Lighting Department,11,1,True
SYN-CHN-012817,Pothole reported on the roadway.,12.940396,80.29194,Chennai synthetic background,Pothole,MEDIUM,40,ASSIGNED,Roads & Highways Department,12,5,True
SYN-CHN-003853,Damaged or deteriorated public infrastructure reported.,13.042502,80.23975,Anna Salai,Public Infrastructure,HIGH,72,PENDING,Municipal Engineering Department,5,7,True
SYN-CHN-002678,Garbage accumulation reported in a public area.,13.017487,80.17282,Mount Poonamallee Road,Garbage,LOW,25,RESOLVED,Solid Waste Management Department,52,13,True
SYN-CHN-005891,Pothole reported on the roadway.,13.074756,80.219441,100 Feet Road,Pothole,MEDIUM,46,ASSIGNED,Roads & Highways Department,8,12,True
SYN-CHN-011159,Traffic signal or traffic-control infrastructure issue reported.,13.121058,80.189926,Ambattur Industrial Corridor,Traffic Signal,CRITICAL,83,RESOLVED,Traffic Police / Traffic Engineering Department,9,13,True
SYN-CHN-007701,Waterlogging or flooding reported after heavy rainfall.,13.109035,80.231354,Madhavaram High Road,Flooding,HIGH,70,RESOLVED,Storm Water Drainage Department,14,12,True
SYN-CHN-009039,Water supply disruption reported by residents.,13.078911,80.294886,East Coast Corridor,Water Supply,MEDIUM,46,RESOLVED,Water Supply Department,8,12,True
SYN-CHN-006132,Potential electrical infrastructure hazard reported.,13.063045,80.212153,100 Feet Road,Electrical Hazard,CRITICAL,79,RESOLVED,Electrical / Street Lighting Department,10,5,True
SYN-CHN-006089,Drainage obstruction or drainage-related civic issue reported.,13.055732,80.205883,100 Feet Road,Drainage,LOW,28,RESOLVED,Storm Water Drainage Department,6,4,True
